algoritmo,complejidad,lenguaje,tamaño,tiempo
ShakerSort,O(n²),Python,10000,5.5886389000002055
DualPivotQuickSort,O(n log n),Python,10000,0.015740499999992608
HeapSort,O(n log n),Python,10000,0.041475399999853835
MergeSort,O(n log n),Python,10000,0.042283799999950133
RadixSort,O(n·k),Python,10000,1.1818769999999859
ShakerSort,O(n²),Python,100000,376.55328519999966
DualPivotQuickSort,O(n log n),Python,100000,0.11392700000033074
HeapSort,O(n log n),Python,100000,0.3556250999999975
MergeSort,O(n log n),Python,100000,0.30460820000007516
RadixSort,O(n·k),Python,100000,12.001840299999913
ShakerSort,O(n²),Python,1000000,inf
DualPivotQuickSort,O(n log n),Python,1000000,1.9189378999999462
HeapSort,O(n log n),Python,1000000,5.5884798000001865
MergeSort,O(n log n),Python,1000000,4.521146399999907
RadixSort,O(n·k),Python,1000000,186.0232229999997
